x	rho_sf	rho_sf_ana	rho_pin	rho_pin_ana	rho_crit
3.2227	2.8597e-11	1.816e-15	0.2201	0.21492	0.0023941
3.252	2.5362e-11	1.2915e-15	0.24394	0.23816	0.0021699
3.2812	2.2482e-11	9.1845e-16	0.26991	0.26347	0.0019668
3.3105	1.9917e-11	6.5316e-16	0.29808	0.29095	0.0017828
3.3398	1.7634e-11	4.645e-16	0.32853	0.32066	0.0016161
3.3691	1.5604e-11	3.3033e-16	0.36126	0.35262	0.001465
3.3984	1.3798e-11	2.3492e-16	0.39628	0.38684	0.0013281
3.4277	1.2193e-11	1.6706e-16	0.4335	0.42325	0.0012041
3.457	1.0768e-11	1.1881e-16	0.47281	0.46176	0.0010917
3.4863	9.5021e-12	8.4492e-17	0.51401	0.50218	0.00098977
3.5156	8.3791e-12	6.0087e-17	0.55683	0.54426	0.00089743
3.5449	7.3835e-12	4.2731e-17	0.60091	0.58767	0.00081373
3.5742	6.5012e-12	3.0389e-17	0.64582	0.63201	0.00073786
3.6035	5.7199e-12	2.1611e-17	0.69101	0.67675	0.00066909
3.6328	5.0286e-12	1.5369e-17	0.73587	0.72131	0.00060675
3.6621	4.4173e-12	1.093e-17	0.77971	0.76503	0.00055023
3.6914	3.8772e-12	7.7728e-18	0.82175	0.80716	0.00049899
3.7207	3.4004e-12	5.5277e-18	0.8612	0.84692	0.00045253
3.75	2.9797e-12	3.931e-18	0.89725	0.8835	0.00041041
3.7793	2.6089e-12	2.7956e-18	0.92908	0.91612	0.00037222
3.8086	2.2823e-12	1.9881e-18	0.95596	0.944	0.00033759
3.8379	1.9949e-12	1.4139e-18	0.9772	0.96647	0.00030618
3.8672	1.7421e-12	1.0055e-18	0.99227	0.98296	0.0002777
3.8965	1.5201e-12	7.1505e-19	1.0008	0.99304	0.00025187
3.9258	1.3252e-12	5.0851e-19	1.0024	0.99643	0.00022845
3.9551	1.1542e-12	3.6163e-19	0.99727	0.99304	0.00020721
3.9844	1.0045e-12	2.5718e-19	0.98538	0.98296	0.00018794
4.0137	8.7332e-13	1.8289e-19	0.9671	0.96647	0.00017047
4.043	7.5862e-13	1.3007e-19	0.9429	0.944	0.00015462
4.0723	6.5839e-13	9.2498e-20	0.91339	0.91612	0.00014024
4.1016	5.7088e-13	6.5781e-20	0.87928	0.8835	0.0001272
4.1309	4.9455e-13	4.678e-20	0.84135	0.84692	0.00011537
4.1602	4.2802e-13	3.3268e-20	0.80043	0.80716	0.00010463
4.1895	3.701e-13	2.3659e-20	0.75732	0.76503	9.4899e-05
4.2188	3.1972e-13	1.6825e-20	0.7128	0.72131	8.6067e-05
4.248	2.7594e-13	1.1965e-20	0.66762	0.67675	7.8055e-05
4.2773	2.3794e-13	8.5093e-21	0.62242	0.632	7.0786e-05
4.3066	2.0497e-13	6.0515e-21	0.57779	0.58767	6.4191e-05
4.3359	1.764e-13	4.3035e-21	0.53422	0.54425	5.8207e-05
4.3652	1.5167e-13	3.0605e-21	0.49211	0.50217	5.2778e-05
4.3945	1.3029e-13	2.1765e-21	0.45176	0.46175	4.7853e-05
4.4238	1.1181e-13	1.5478e-21	0.41341	0.42325	4.3383e-05
4.4531	9.5859e-14	1.1008e-21	0.37722	0.38683	3.9328e-05
4.4824	8.2106e-14	7.8281e-22	0.34329	0.35262	3.5648e-05
4.5117	7.0258e-14	5.567e-22	0.31165	0.32065	3.231e-05
4.541	6.0062e-14	3.959e-22	0.28229	0.29094	2.928e-05
4.5703	5.1295e-14	2.8155e-22	0.25518	0.26346	2.6531e-05
4.5996	4.3766e-14	2.0023e-22	0.23025	0.23815	2.4036e-05
4.6289	3.7305e-14	1.4239e-22	0.2074	0.21491	2.1772e-05
4.6582	3.1767e-14	1.0126e-22	0.18653	0.19366	1.9718e-05
4.6875	2.7025e-14	7.2014e-23	0.16752	0.17428	1.7854e-05
4.7168	2.2967e-14	5.1213e-23	0.15025	0.15665	1.6162e-05
4.7461	1.95e-14	3.6421e-23	0.1346	0.14065	1.4627e-05
4.7754	1.654e-14	2.5901e-23	0.12045	0.12617	1.3234e-05
4.8047	1.4015e-14	1.842e-23	0.10767	0.11308	1.197e-05
4.834	1.1864e-14	1.3099e-23	0.096152	0.10127	1.0823e-05
4.8633	1.0033e-14	9.3156e-24	0.085787	0.090627	9.7815e-06
4.8926	8.4755e-15	6.6249e-24	0.076472	0.081055	8.8367e-06
4.9219	7.1528e-15	4.7113e-24	0.06811	0.072453	7.9794e-06
4.9512	6.0303e-15	3.3505e-24	0.060611	0.064732	7.2013e-06
4.9805	5.0787e-15	2.3827e-24	0.053893	0.057808	6.4953e-06
5.0098	4.2727e-15	1.6945e-24	0.047879	0.051605	5.8546e-06
5.0391	3.5909e-15	1.2051e-24	0.042499	0.04605	5.2733e-06
5.0684	3.0146e-15	8.5698e-25	0.037691	0.041081	4.7459e-06
5.0977	2.528e-15	6.0945e-25	0.033395	0.036638	4.2673e-06
5.127	2.1175e-15	4.3342e-25	0.02956	0.032666	3.8332e-06
5.1562	1.7717e-15	3.0823e-25	0.026137	0.029119	3.4393e-06
5.1855	1.4805e-15	2.192e-25	0.023085	0.025952	3.0821e-06
5.2148	1.2357e-15	1.5588e-25	0.020363	0.023125	2.7581e-06
5.2441	1.03e-15	1.1086e-25	0.017937	0.020603	2.4644e-06
5.2734	8.5733e-16	7.8838e-26	0.015776	0.018354	2.1981e-06
5.3027	7.1258e-16	5.6066e-26	0.013852	0.016348	1.9567e-06
5.332	5.9134e-16	3.9872e-26	0.012139	0.014559	1.738e-06
5.3613	4.8988e-16	2.8355e-26	0.010614	0.012965	1.5399e-06
5.3906	4.0507e-16	2.0165e-26	0.0092588	0.011544	1.3606e-06
5.4199	3.3424e-16	1.434e-26	0.0080537	0.010279	1.1984e-06
5.4492	2.7515e-16	1.0198e-26	0.0069831	0.0091512	1.0517e-06
5.4785	2.259e-16	7.2526e-27	0.0060326	0.0081468	9.192e-07
5.5078	1.849e-16	5.1578e-27	0.0051895	0.0072522	7.9963e-07
5.5371	1.508e-16	3.668e-27	0.0044423	0.0064555	6.9187e-07
5.5664	1.2247e-16	2.6085e-27	0.0037809	0.0057461	5.9491e-07
5.5957	9.896e-17	1.8551e-27	0.0031964	0.0051145	5.0784e-07
5.625	7.9482e-17	1.3192e-27	0.0026809	0.0045521	4.2985e-07
5.6543	6.3368e-17	9.3819e-28	0.0022273	0.0040514	3.6019e-07
5.6836	5.0061e-17	6.672e-28	0.0018294	0.0036057	2.9822e-07
5.7129	3.9101e-17	4.7448e-28	0.0014819	0.003209	2.4336e-07
5.7422	3.0101e-17	3.3743e-28	0.00118	0.0028558	1.9509e-07
5.7715	2.2744e-17	2.3997e-28	0.00091957	0.0025415	1.5296e-07
5.8008	1.6766e-17	1.7066e-28	0.00069701	0.0022617	1.1657e-07
5.8301	1.1953e-17	1.2136e-28	0.00050933	0.0020127	8.559e-08
5.8594	8.1309e-18	8.6308e-29	0.00035391	0.0017911	5.9715e-08
5.8887	5.1611e-18	6.1379e-29	0.00022867	0.0015939	3.8713e-08
5.918	2.9338e-18	4.365e-29	0.00013183	0.0014183	2.2379e-08
5.9473	1.3664e-18	3.1042e-29	6.204e-05	0.0012621	1.0552e-08
5.9766	4.235e-19	2.2076e-29	1.9358e-05	0.0011231	3.2965e-09
6.0059	0	1.5699e-29	0	0.00099938	0
6.0352	0	1.1165e-29	0	0.00088929	0
6.0645	0	7.9398e-30	0	0.00079132	0
6.0938	0	5.6465e-30	0	0.00070414	0
6.123	0	4.0155e-30	0	0.00062656	0
6.1523	0	2.8557e-30	0	0.00055753	0
6.1816	0	2.0308e-30	0	0.0004961	0
6.2109	0	1.4442e-30	0	0.00044144	0
6.2402	0	1.0271e-30	0	0.00039279	0
6.2695	0	7.3042e-31	0	0.00034951	0
6.2988	0	5.1944e-31	0	0.000311	0
6.3281	0	3.6941e-31	0	0.00027673	0
6.3574	0	2.6271e-31	0	0.00024623	0
6.3867	0	1.8683e-31	0	0.0002191	0
6.416	0	1.3286e-31	0	0.00019496	0
6.4453	0	9.4486e-32	0	0.00017347	0
6.4746	0	6.7195e-32	0	0.00015436	0
6.5039	0	4.7786e-32	0	0.00013734	0
6.5332	0	3.3983e-32	0	0.00012221	0
6.5625	0	2.4168e-32	0	0.00010874	0
6.5918	0	1.7187e-32	0	9.6758e-05	0
6.6211	0	1.2223e-32	0	8.6095e-05	0
6.6504	0	8.6922e-33	0	7.6606e-05	0
6.6797	0	6.1815e-33	0	6.8164e-05	0
6.709	0	4.396e-33	0	6.0652e-05	0
6.7383	0	3.1263e-33	0	5.3968e-05	0
6.7676	0	2.2233e-33	0	4.802e-05	0
6.7969	0	1.5811e-33	0	4.2728e-05	0
6.8262	0	1.1244e-33	0	3.8019e-05	0
6.8555	0	7.9963e-34	0	3.3829e-05	0
6.8848	0	5.6866e-34	0	3.0101e-05	0
6.9141	0	4.0441e-34	0	2.6784e-05	0
6.9434	0	2.876e-34	0	2.3832e-05	0
6.9727	0	2.0453e-34	0	2.1205e-05	0
7.002	0	1.4545e-34	0	1.8868e-05	0
7.0312	0	1.0344e-34	0	1.6789e-05	0
7.0605	0	7.3562e-35	0	1.4939e-05	0
7.0898	0	5.2314e-35	0	1.3292e-05	0
7.1191	0	3.7203e-35	0	1.1827e-05	0
7.1484	0	2.6458e-35	0	1.0524e-05	0
7.1777	0	1.8815e-35	0	9.364e-06	0
7.207	0	1.3381e-35	0	8.332e-06	0
7.2363	0	9.5158e-36	0	7.4138e-06	0
7.2656	0	6.7673e-36	0	6.5967e-06	0
7.2949	0	4.8126e-36	0	5.8697e-06	0
7.3242	0	3.4225e-36	0	5.2228e-06	0
7.3535	0	2.4339e-36	0	4.6472e-06	0
7.3828	0	1.7309e-36	0	4.135e-06	0
7.4121	0	1.231e-36	0	3.6793e-06	0
7.4414	0	8.754e-37	0	3.2738e-06	0
7.4707	0	6.2255e-37	0	2.913e-06	0
7.5	0	4.4273e-37	0	2.592e-06	0
